Brand,Model Name,Vehicle Status,Year,Availability Start Year,Availability End Year,Real-World Range (km),Energy Efficiency (Wh/km),Battery Capacity (kWh),Vehicle Weight (kg),"Acceleration (0-100 km/h, sec)",Fast Charging Speed (kW),Towing Capacity (kg),Cargo Volume (L),Price (€)
Rolls-Royce,SpectreRolls-Royce Spectre,Available,2023,2023,,465.0,219.0,102.0,2960.0,4.5,126.0,,380.0,10089.0
BMW,i7 xDrive60BMW i7 xDrive60,Available,2022,2022,,510.0,199.0,101.7,2710.0,4.7,159.0,2000.0,500.0,10089.0
Volkswagen,ID.4 Pro (MY26)Volkswagen ID.4 Pro,Available,2025,2025,,445.0,173.0,77.0,2130.0,6.7,120.0,1000.0,543.0,44089.0
Audi,A6 Sportback e-tron performanceAudi A6 Sportback e-tron performance,Available,2024,2024,,600.0,158.0,94.9,2250.0,5.4,200.0,2100.0,529.0,77389.0
Kia,EV9 99.8 kWh AWDKia EV9 99.8 kWh AWD,Available,2023,2023,,435.0,221.0,96.0,2620.0,6.0,194.0,2500.0,385.0,70689.0
Toyota,bZ4X AWD (MY22-24)Toyota bZ4X AWD,Available,2022,2022,,345.0,186.0,64.0,2070.0,6.9,100.0,750.0,452.0,53189.0
Jaecoo,5 EVJaecoo 5 EV,Available,2025,2025,,325.0,181.0,58.9,1760.0,7.7,80.0,0.0,480.0,31689.0
Hyundai,IONIQ 6 Standard Range 2WDHyundai IONIQ 6 Standard Range 2WD,Available,2023,2023,,335.0,149.0,50.0,1850.0,8.8,120.0,750.0,446.0,44889.0
Peugeot,e-3008 73 kWhPeugeot e-3008 73 kWh,Available,2023,2023,,380.0,192.0,73.0,2180.0,8.8,90.0,1250.0,588.0,48889.0
Hyundai,IONIQ 5 84 kWh AWD (MY24)Hyundai IONIQ 5 84 kWh AWD,Available,2024,2024,,445.0,180.0,80.0,2160.0,5.3,205.0,1600.0,544.0,59789.0
Polestar,2 Long Range Single MotorPolestar 2 Long Range Single Motor,Discontinued,2021,2021,2023,420.0,179.0,75.0,2060.0,7.4,108.0,1500.0,440.0,52289.0
Voyah,Free 106 kWhVoyah Free 106 kWh,Available,2023,2023,,480.0,208.0,100.0,2410.0,4.4,80.0,2000.0,622.0,66189.0
Hyundai,IONIQ 5 Standard Range 2WD (MY21)Hyundai IONIQ 5 Standard Range 2WD,Discontinued,2021,2021,2024,295.0,183.0,54.0,1900.0,8.5,140.0,750.0,588.0,47789.0
Smart,#5 Premium (MY25)Smart #5 Premium,Available,2025,2025,,465.0,202.0,94.0,2330.0,6.5,230.0,1600.0,702.0,55989.0
Polestar,2 Long Range Dual MotorPolestar 2 Long Range Dual Motor,Discontinued,2021,2021,2023,390.0,192.0,75.0,2180.0,4.7,108.0,1500.0,440.0,56089.0
Tesla,Model S 100DTesla Model S 100D,Discontinued,2017,2017,2019,485.0,196.0,95.0,2290.0,4.3,100.0,0.0,895.0,10089.0
Tesla,Model Y Premium RWD (Juniper)Tesla Model Y Premium RWD,Available,2025,2025,,470.0,160.0,75.0,1970.0,5.6,124.0,1600.0,971.0,50989.0
